Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.125000	   -2.75600134e+01	        7.46663744e+00	    3.50942307e+01	    1.63942386e-02	    0.00000000e+00	    4.85866210e+00	    2.59158111e+00	    1.63942386e-02	    0.00000000e+00	    0.00000000e+00
   0.130000	   -2.75585377e+01	        7.46711106e+00	    3.50942307e+01	    1.63993311e-02	    0.00000000e+00	    4.85866487e+00	    2.59204685e+00	    1.63993311e-02	    0.00000000e+00	    0.00000000e+00
   0.135000	   -2.75570605e+01	        7.46758841e+00	    3.50942307e+01	    1.64044550e-02	    0.00000000e+00	    4.85866856e+00	    2.59251539e+00	    1.64044550e-02	    0.00000000e+00	    0.00000000e+00
   0.140000	   -2.75555790e+01	        7.46807067e+00	    3.50942307e+01	    1.64096111e-02	    0.00000000e+00	    4.85867428e+00	    2.59298678e+00	    1.64096111e-02	    0.00000000e+00	    0.00000000e+00
   0.145000	   -2.75540954e+01	        7.46855362e+00	    3.50942307e+01	    1.64148001e-02	    0.00000000e+00	    4.85867776e+00	    2.59346107e+00	    1.64148001e-02	    0.00000000e+00	    0.00000000e+00
   0.150000	   -2.75526097e+01	        7.46904002e+00	    3.50942307e+01	    1.64200227e-02	    0.00000000e+00	    4.85868167e+00	    2.59393832e+00	    1.64200227e-02	    0.00000000e+00	    0.00000000e+00
   0.155000	   -2.75511200e+01	        7.46952985e+00	    3.50942307e+01	    1.64252797e-02	    0.00000000e+00	    4.85868597e+00	    2.59441860e+00	    1.64252797e-02	    0.00000000e+00	    0.00000000e+00
   0.160000	   -2.75496268e+01	        7.47002315e+00	    3.50942307e+01	    1.64305719e-02	    0.00000000e+00	    4.85869060e+00	    2.59490198e+00	    1.64305719e-02	    0.00000000e+00	    0.00000000e+00
   0.165000	   -2.75481311e+01	        7.47051863e+00	    3.50942307e+01	    1.64359005e-02	    0.00000000e+00	    4.85869421e+00	    2.59538852e+00	    1.64359005e-02	    0.00000000e+00	    0.00000000e+00
   0.170000	   -2.75466315e+01	        7.47101782e+00	    3.50942307e+01	    1.64412663e-02	    0.00000000e+00	    4.85869825e+00	    2.59587830e+00	    1.64412663e-02	    0.00000000e+00	    0.00000000e+00
   0.175000	   -2.75451288e+01	        7.47152087e+00	    3.50942307e+01	    1.64466704e-02	    0.00000000e+00	    4.85870278e+00	    2.59637142e+00	    1.64466704e-02	    0.00000000e+00	    0.00000000e+00
   0.180000	   -2.75436221e+01	        7.47202743e+00	    3.50942307e+01	    1.64521142e-02	    0.00000000e+00	    4.85870736e+00	    2.59686796e+00	    1.64521142e-02	    0.00000000e+00	    0.00000000e+00
   0.185000	   -2.75421122e+01	        7.47253633e+00	    3.50942307e+01	    1.64575988e-02	    0.00000000e+00	    4.85871071e+00	    2.59736802e+00	    1.64575988e-02	    0.00000000e+00	    0.00000000e+00
   0.190000	   -2.75405989e+01	        7.47305073e+00	    3.50942307e+01	    1.64631259e-02	    0.00000000e+00	    4.85871589e+00	    2.59787171e+00	    1.64631259e-02	    0.00000000e+00	    0.00000000e+00
   0.195000	   -2.75390814e+01	        7.47356854e+00	    3.50942307e+01	    1.64686969e-02	    0.00000000e+00	    4.85872068e+00	    2.59837917e+00	    1.64686969e-02	    0.00000000e+00	    0.00000000e+00
   0.200000	   -2.75375598e+01	        7.47408907e+00	    3.50942307e+01	    1.64743138e-02	    0.00000000e+00	    4.85872425e+00	    2.59889052e+00	    1.64743138e-02	    0.00000000e+00	    0.00000000e+00
   0.205000	   -2.75360341e+01	        7.47461547e+00	    3.50942307e+01	    1.64799787e-02	    0.00000000e+00	    4.85872957e+00	    2.59940592e+00	    1.64799787e-02	    0.00000000e+00	    0.00000000e+00
   0.210000	   -2.75345043e+01	        7.47514608e+00	    3.50942307e+01	    1.64856937e-02	    0.00000000e+00	    4.85873483e+00	    2.59992555e+00	    1.64856937e-02	    0.00000000e+00	    0.00000000e+00
   0.215000	   -2.75329698e+01	        7.47568009e+00	    3.50942307e+01	    1.64914616e-02	    0.00000000e+00	    4.85873901e+00	    2.60044962e+00	    1.64914616e-02	    0.00000000e+00	    0.00000000e+00
   0.220000	   -2.75314302e+01	        7.47621919e+00	    3.50942307e+01	    1.64972855e-02	    0.00000000e+00	    4.85874355e+00	    2.60097835e+00	    1.64972855e-02	    0.00000000e+00	    0.00000000e+00
   0.225000	   -2.75298859e+01	        7.47676317e+00	    3.50942307e+01	    1.65031686e-02	    0.00000000e+00	    4.85874799e+00	    2.60151202e+00	    1.65031686e-02	    0.00000000e+00	    0.00000000e+00
   0.230000	   -2.75283361e+01	        7.47731418e+00	    3.50942307e+01	    1.65091152e-02	    0.00000000e+00	    4.85875414e+00	    2.60205092e+00	    1.65091152e-02	    0.00000000e+00	    0.00000000e+00
