SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	9
Calculation started : 	12-8-2026 at 15:45:06

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.120000	   -2.98277037e+01	        5.19994619e+00	    3.50942307e+01	    3.96379686e-02	    0.00000000e+00	    4.85865724e+00	    3.01650987e-01	    3.96379686e-02	    0.00000000e+00	    0.00000000e+00
   0.125000	   -2.98266284e+01	        5.20002163e+00	    3.50942307e+01	    3.96480872e-02	    0.00000000e+00	    4.85866172e+00	    3.01711815e-01	    3.96480872e-02	    0.00000000e+00	    0.00000000e+00
   0.130000	   -2.98255533e+01	        5.20009754e+00	    3.50942307e+01	    3.96582659e-02	    0.00000000e+00	    4.85866630e+00	    3.01772982e-01	    3.96582659e-02	    0.00000000e+00	    0.00000000e+00
   0.135000	   -2.98244772e+01	        5.20017318e+00	    3.50942307e+01	    3.96685059e-02	    0.00000000e+00	    4.85867014e+00	    3.01834530e-01	    3.96685059e-02	    0.00000000e+00	    0.00000000e+00
   0.140000	   -2.98234005e+01	        5.20024858e+00	    3.50942307e+01	    3.96788085e-02	    0.00000000e+00	    4.85867334e+00	    3.01896431e-01	    3.96788085e-02	    0.00000000e+00	    0.00000000e+00
   0.145000	   -2.98223239e+01	        5.20032576e+00	    3.50942307e+01	    3.96891748e-02	    0.00000000e+00	    4.85867786e+00	    3.01958718e-01	    3.96891748e-02	    0.00000000e+00	    0.00000000e+00
   0.150000	   -2.98212468e+01	        5.20040290e+00	    3.50942307e+01	    3.96996064e-02	    0.00000000e+00	    4.85868190e+00	    3.02021399e-01	    3.96996064e-02	    0.00000000e+00	    0.00000000e+00
   0.155000	   -2.98201694e+01	        5.20048007e+00	    3.50942307e+01	    3.97101046e-02	    0.00000000e+00	    4.85868551e+00	    3.02084455e-01	    3.97101046e-02	    0.00000000e+00	    0.00000000e+00
   0.160000	   -2.98190908e+01	        5.20055874e+00	    3.50942307e+01	    3.97206711e-02	    0.00000000e+00	    4.85869015e+00	    3.02147923e-01	    3.97206711e-02	    0.00000000e+00	    0.00000000e+00
   0.165000	   -2.98180121e+01	        5.20063694e+00	    3.50942307e+01	    3.97313075e-02	    0.00000000e+00	    4.85869383e+00	    3.02211802e-01	    3.97313075e-02	    0.00000000e+00	    0.00000000e+00
   0.170000	   -2.98169330e+01	        5.20071603e+00	    3.50942307e+01	    3.97420156e-02	    0.00000000e+00	    4.85869791e+00	    3.02276110e-01	    3.97420156e-02	    0.00000000e+00	    0.00000000e+00
   0.175000	   -2.98158533e+01	        5.20079713e+00	    3.50942307e+01	    3.97527974e-02	    0.00000000e+00	    4.85870349e+00	    3.02340841e-01	    3.97527974e-02	    0.00000000e+00	    0.00000000e+00
   0.180000	   -2.98147728e+01	        5.20087653e+00	    3.50942307e+01	    3.97636550e-02	    0.00000000e+00	    4.85870686e+00	    3.02406016e-01	    3.97636550e-02	    0.00000000e+00	    0.00000000e+00
   0.185000	   -2.98136921e+01	        5.20095721e+00	    3.50942307e+01	    3.97745908e-02	    0.00000000e+00	    4.85871098e+00	    3.02471647e-01	    3.97745908e-02	    0.00000000e+00	    0.00000000e+00
